campaign_id,brand,category,platform,total_budget,start_date,end_date,target_creator_tier,expected_creator_count
CA043,Brand_043,finance,youtube,65000,2025-05-07,2025-06-21,mid,66
CA044,Brand_044,D2C,youtube,55000,2025-05-10,2025-05-31,micro,46
CA045,Brand_045,D2C,instagram,155000,2025-05-13,2025-06-12,nano,172
CA046,Brand_046,entertainment,youtube,205000,2025-05-16,2025-05-30,nano,108
CA047,Brand_047,gaming,youtube,235000,2025-05-19,2025-06-02,micro,63
CA048,Brand_048,finance,instagram,25000,2025-05-22,2025-06-21,nano,158
CA049,Brand_049,entertainment,youtube,145000,2025-05-25,2025-06-24,micro,57
CA050,Brand_050,entertainment,youtube,25000,2025-05-28,2025-07-12,micro,172
CA051,Brand_051,D2C,youtube,20000,2025-05-31,2025-06-30,nano,52
CA052,Brand_052,finance,youtube,50000,2025-06-03,2025-06-24,micro,45
CA053,Brand_053,FMCG,instagram,815000,2025-06-06,2025-06-20,mid,186
CA054,Brand_054,entertainment,youtube,105000,2025-06-09,2025-07-09,nano,152
CA055,Brand_055,gaming,youtube,60000,2025-06-12,2025-07-12,micro,141
CA056,Brand_056,FMCG,youtube,35000,2025-06-15,2025-07-06,micro,110
CA057,Brand_057,FMCG,youtube,105000,2025-06-18,2025-07-18,micro,83
CA058,Brand_058,D2C,youtube,445000,2025-06-21,2025-07-05,micro,193
CA059,Brand_059,D2C,youtube,55000,2025-06-24,2025-07-24,nano,167
CA060,Brand_060,D2C,youtube,15000,2025-06-27,2025-07-18,micro,112
CA061,Brand_061,gaming,youtube,1150000,2025-06-30,2025-07-30,macro,184
CA062,Brand_062,gaming,youtube,180000,2025-07-03,2025-07-24,nano,66
CA063,Brand_063,D2C,instagram,55000,2025-07-06,2025-08-20,nano,132
CA064,Brand_064,entertainment,instagram,90000,2025-07-09,2025-08-23,micro,90
CA065,Brand_065,FMCG,instagram,90000,2025-07-12,2025-08-02,micro,119
CA066,Brand_066,FMCG,instagram,225000,2025-07-15,2025-08-05,mid,102
CA067,Brand_067,finance,instagram,305000,2025-07-18,2025-08-17,micro,186
CA068,Brand_068,D2C,instagram,135000,2025-07-21,2025-08-04,mid,80
CA069,Brand_069,FMCG,youtube,10000,2025-07-24,2025-08-14,nano,33
CA070,Brand_070,gaming,instagram,2070000,2025-07-27,2025-08-10,macro,191
CA071,Brand_071,D2C,instagram,95000,2025-07-30,2025-08-20,mid,48
CA072,Brand_072,D2C,youtube,40000,2025-08-02,2025-09-01,micro,86
CA073,Brand_073,D2C,instagram,10000,2025-08-05,2025-09-04,micro,34
CA074,Brand_074,D2C,youtube,30000,2025-08-08,2025-09-07,micro,62
CA075,Brand_075,finance,youtube,495000,2025-08-11,2025-09-25,macro,155
CA076,Brand_076,entertainment,youtube,135000,2025-08-14,2025-09-13,micro,136
CA077,Brand_077,D2C,youtube,405000,2025-08-17,2025-08-31,nano,123
CA078,Brand_078,D2C,instagram,70000,2025-08-20,2025-09-19,micro,152
CA079,Brand_079,entertainment,instagram,195000,2025-08-23,2025-09-06,micro,144
CA080,Brand_080,gaming,youtube,70000,2025-08-26,2025-09-25,micro,40
CA081,Brand_081,finance,youtube,20000,2025-08-29,2025-09-12,nano,58
CA082,Brand_082,FMCG,youtube,370000,2025-09-01,2025-09-15,mid,163
CA083,Brand_083,FMCG,youtube,30000,2025-09-04,2025-10-04,nano,59
CA084,Brand_084,gaming,instagram,615000,2025-09-07,2025-10-22,nano,96
CA085,Brand_085,FMCG,youtube,170000,2025-09-10,2025-10-01,micro,194
CA086,Brand_086,entertainment,instagram,40000,2025-09-13,2025-10-04,micro,52
CA087,Brand_087,entertainment,youtube,60000,2025-09-16,2025-10-07,micro,95
CA088,Brand_088,entertainment,instagram,145000,2025-09-19,2025-10-10,micro,124
CA089,Brand_089,finance,instagram,15000,2025-09-22,2025-10-13,nano,39
CA090,Brand_090,gaming,instagram,160000,2025-09-25,2025-10-25,mid,181
CA091,Brand_091,FMCG,youtube,85000,2025-09-28,2025-10-28,mid,67
CA092,Brand_092,entertainment,instagram,165000,2025-10-01,2025-11-15,micro,81
CA093,Brand_093,entertainment,instagram,755000,2025-10-04,2025-11-03,mid,182
CA094,Brand_094,FMCG,instagram,60000,2025-10-07,2025-10-21,micro,50
CA095,Brand_095,FMCG,youtube,135000,2025-10-10,2025-10-24,nano,181
CA096,Brand_096,D2C,instagram,1505000,2025-10-13,2025-11-12,macro,184
CA097,Brand_097,D2C,instagram,215000,2025-10-16,2025-10-30,nano,192
CA098,Brand_098,FMCG,instagram,200000,2025-10-19,2025-11-02,macro,31
CA099,Brand_099,entertainment,youtube,50000,2025-10-22,2025-11-21,nano,34
CA100,Brand_100,FMCG,instagram,220000,2025-10-25,2025-12-09,mid,74
