post_id,campaign_id,creator_id,post_date,platform,format,views_at_24h,views_at_7d,views_at_30d,views_final,total_payout_earned,flagged_suspicious
PO00129,CA002,CR0494,2025-01-04,instagram,short,106,320,1817,2375,0,True
PO00130,CA002,CR0567,2025-01-04,instagram,short,5518,18305,27629,34042,2400,False
PO00131,CA002,CR0561,2025-01-04,instagram,reel,208,544,1235,1272,0,False
PO00132,CA002,CR0970,2025-01-04,instagram,reel,710,1810,2568,3148,0,False
PO00133,CA002,CR0374,2025-01-04,instagram,reel,485,921,2162,2236,0,False
PO00134,CA002,CR1081,2025-01-04,instagram,carousel,100,202,348,430,0,False
PO00135,CA002,CR0121,2025-01-04,instagram,reel,435,908,1581,1721,0,False
PO00136,CA002,CR0237,2025-01-04,instagram,reel,124,312,630,708,0,False
PO00137,CA002,CR0945,2025-01-04,instagram,reel,531,707,1670,1913,0,False
PO00138,CA002,CR0730,2025-01-04,instagram,reel,276,1090,2023,2134,0,False
PO00139,CA002,CR0151,2025-01-04,instagram,reel,15294,69213,124765,147158,6050,False
PO00140,CA002,CR0207,2025-01-04,instagram,reel,1416,3821,7414,8581,600,False
PO00141,CA002,CR0998,2025-01-04,instagram,carousel,10723,25875,48636,50746,2400,False
PO00142,CA002,CR0482,2025-01-04,instagram,short,309,1434,1737,2064,0,False
PO00143,CA002,CR0649,2025-01-04,instagram,reel,1247,3615,5579,5815,0,False
PO00144,CA002,CR0033,2025-01-04,instagram,reel,103,177,338,408,0,False
PO00145,CA002,CR0525,2025-01-04,instagram,short,289,946,5483,6726,0,True
PO00146,CA002,CR0255,2025-01-04,instagram,reel,2785,12044,21228,25332,600,False
PO00147,CA002,CR0966,2025-01-04,instagram,reel,612,2360,4566,5019,0,False
PO00148,CA002,CR1153,2025-01-04,instagram,reel,100,231,1698,1900,0,True
PO00149,CA002,CR0590,2025-01-04,instagram,short,100,489,3603,4734,0,True
PO00150,CA002,CR0660,2025-01-04,instagram,reel,1762,4786,7159,7811,600,False
PO00151,CA002,CR0324,2025-01-04,instagram,carousel,142,646,1154,1356,0,False
PO00152,CA002,CR0702,2025-01-04,instagram,reel,331,636,1318,1427,0,False
PO00153,CA002,CR0076,2025-01-04,instagram,reel,931,6622,9564,11398,600,False
PO00154,CA002,CR0229,2025-01-04,instagram,short,284448,844723,1272805,1299960,21100,False
PO00155,CA002,CR0657,2025-01-04,instagram,reel,1915,5157,6700,8057,600,False
PO00156,CA002,CR0327,2025-01-04,instagram,reel,269,710,1594,1702,0,False
PO00157,CA002,CR1060,2025-01-04,instagram,reel,294,916,1811,1842,0,False
PO00158,CA002,CR0610,2025-01-04,instagram,carousel,100,427,592,620,0,False
PO00159,CA002,CR1124,2025-01-04,instagram,short,100,323,513,514,0,False
PO00160,CA002,CR0307,2025-01-04,instagram,reel,6125,9881,21805,22547,600,False
PO00161,CA002,CR0496,2025-01-04,instagram,reel,129,564,889,886,0,False
PO00162,CA002,CR0826,2025-01-04,instagram,long_form,362,1053,1719,1890,0,False
PO00163,CA002,CR0148,2025-01-04,instagram,short,7847,30431,56334,67922,2400,False
PO00164,CA002,CR0389,2025-01-04,instagram,reel,100,643,1037,1028,0,False
PO00165,CA002,CR0605,2025-01-04,instagram,long_form,19466,67779,100473,98674,6050,False
PO00166,CA002,CR0851,2025-01-04,instagram,reel,3548,10013,13403,15088,600,False
PO00167,CA002,CR0855,2025-01-04,instagram,reel,2675,6863,10097,10454,600,False
PO00168,CA002,CR0788,2025-01-04,instagram,carousel,100,169,255,311,0,False
PO00169,CA002,CR0022,2025-01-04,instagram,short,289,837,1161,1383,0,False
PO00170,CA002,CR1182,2025-01-04,instagram,short,100,507,887,906,0,False
PO00171,CA002,CR0848,2025-01-04,instagram,short,437,1265,1627,1829,0,False
PO00172,CA002,CR0836,2025-01-04,instagram,reel,542,1187,2873,2865,0,False
PO00173,CA002,CR0602,2025-01-04,instagram,carousel,100,274,563,566,0,False
PO00174,CA002,CR0055,2025-01-04,instagram,short,439,2205,4001,4482,0,False
PO00175,CA002,CR0889,2025-01-04,instagram,short,231,1728,2241,2784,0,False
PO00176,CA002,CR0315,2025-01-04,instagram,reel,350,1598,2958,3063,0,False
PO00177,CA002,CR0351,2025-01-04,instagram,carousel,100,100,524,691,0,True
PO00178,CA002,CR0877,2025-01-04,instagram,short,421,1168,1632,1906,0,False
PO00179,CA002,CR0993,2025-01-04,instagram,reel,100,169,307,366,0,False
PO00180,CA002,CR1088,2025-01-04,instagram,reel,157,720,903,1057,0,False
PO00181,CA002,CR1108,2025-01-04,instagram,reel,16867,63654,121619,132893,6050,False
PO00182,CA002,CR1070,2025-01-04,instagram,short,184,748,1184,1393,0,False
PO00183,CA002,CR0875,2025-01-04,instagram,long_form,100,100,184,210,0,False
PO00184,CA002,CR1170,2025-01-04,instagram,reel,487,864,1575,1789,0,False
PO00185,CA002,CR1055,2025-01-04,instagram,short,6406,14901,24009,23528,600,False
PO00186,CA002,CR0446,2025-01-04,instagram,reel,147838,220832,458362,554279,21100,False
PO00187,CA002,CR1014,2025-01-04,instagram,reel,438,738,1934,2002,0,False
PO00188,CA002,CR0392,2025-01-04,instagram,reel,1349,3483,7658,7486,600,False
PO00189,CA002,CR1120,2025-01-04,instagram,reel,2123,3545,9522,10106,600,False
PO00190,CA002,CR1109,2025-01-04,instagram,reel,314,787,1378,1644,0,False
PO00191,CA002,CR0253,2025-01-04,instagram,reel,781,2731,3720,4182,0,False
PO00192,CA002,CR0658,2025-01-04,instagram,long_form,100,154,433,429,0,False
PO00193,CA002,CR0397,2025-01-04,instagram,short,432,1279,2208,2231,0,False
PO00194,CA002,CR0753,2025-01-04,instagram,short,100,100,164,185,0,False
PO00195,CA002,CR0641,2025-01-04,instagram,long_form,2120,6922,14052,13849,600,False
PO00196,CA002,CR1115,2025-01-04,instagram,long_form,1654,5206,6800,7939,600,False
PO00197,CA002,CR0611,2025-01-04,instagram,reel,210,519,4739,5514,0,True
PO00198,CA002,CR1123,2025-01-04,instagram,reel,129081,227556,512465,500420,21100,False
PO00199,CA002,CR0793,2025-01-04,instagram,long_form,4925,14090,19279,22166,600,False
PO00200,CA002,CR0771,2025-01-04,instagram,carousel,291,691,1264,1297,0,False
PO00201,CA002,CR0153,2025-01-04,instagram,long_form,122,559,742,833,0,False
PO00202,CA002,CR1130,2025-01-04,instagram,long_form,45599,95751,154769,175294,6050,False
PO00203,CA002,CR0020,2025-01-04,instagram,reel,1899,6985,10812,12418,600,False
PO00204,CA002,CR0729,2025-01-04,instagram,reel,323,566,952,1161,0,False
PO00205,CA002,CR0078,2025-01-04,instagram,short,168,459,644,681,0,False
PO00206,CA002,CR0975,2025-01-04,instagram,carousel,1006,2686,3643,4004,0,False
PO00207,CA002,CR0062,2025-01-04,instagram,short,2019,7437,12718,13313,600,False
PO00208,CA002,CR0639,2025-01-04,instagram,reel,2857,7881,13032,13429,600,False
PO00209,CA002,CR0068,2025-01-04,instagram,reel,1544,8387,16280,17943,600,False
PO00210,CA002,CR0416,2025-01-04,instagram,reel,100,100,100,100,0,False
PO00211,CA002,CR0292,2025-01-04,instagram,long_form,100,242,372,449,0,False
PO00212,CA002,CR0385,2025-01-04,instagram,reel,2105,5934,11340,12220,600,False
PO00213,CA002,CR1091,2025-01-04,instagram,carousel,141,484,780,806,0,False
PO00214,CA002,CR0738,2025-01-04,instagram,short,2822,5634,11959,11652,600,False
PO00215,CA002,CR0539,2025-01-04,instagram,reel,100,102,132,158,0,False
PO00216,CA002,CR0007,2025-01-04,instagram,short,100,113,166,166,0,False
PO00217,CA002,CR0026,2025-01-04,instagram,reel,255,1096,1682,1946,0,False
PO00218,CA002,CR0604,2025-01-04,instagram,short,100,207,300,373,0,False
PO00219,CA003,CR0531,2025-01-07,youtube,carousel,1444,10855,15882,16826,450,False
PO00220,CA003,CR1162,2025-01-07,youtube,short,153,275,473,570,0,False
PO00221,CA003,CR0439,2025-01-07,youtube,reel,1327,3352,4711,4806,0,False
PO00222,CA003,CR1200,2025-01-07,youtube,short,100,390,536,661,0,False
PO00223,CA003,CR0175,2025-01-07,youtube,long_form,17067,35141,58867,72216,1800,False
PO00224,CA003,CR0549,2025-01-07,youtube,long_form,605,2680,5182,5869,0,False
PO00225,CA003,CR0209,2025-01-07,youtube,short,667,2509,3872,4801,0,False
PO00226,CA003,CR0925,2025-01-07,youtube,short,14948,40988,80981,85827,4550,False
PO00227,CA003,CR0286,2025-01-07,youtube,long_form,6934,19526,31060,31379,1800,False
PO00228,CA003,CR0781,2025-01-07,youtube,short,188,596,1223,1192,0,False
PO00229,CA003,CR1012,2025-01-07,youtube,reel,162,885,1339,1475,0,False
PO00230,CA003,CR0598,2025-01-07,youtube,long_form,4744,31413,51698,51088,1800,False
PO00231,CA003,CR0378,2025-01-07,youtube,short,1690,3269,31048,38204,1800,True
PO00232,CA003,CR0023,2025-01-07,youtube,long_form,100,100,140,171,0,False
PO00233,CA003,CR1098,2025-01-07,youtube,long_form,5107,26191,53211,53253,1800,False
PO00234,CA003,CR0809,2025-01-07,youtube,long_form,218,532,1401,1381,0,False
PO00235,CA003,CR0668,2025-01-07,youtube,short,222,631,1350,1450,0,False
PO00236,CA003,CR0298,2025-01-07,youtube,reel,3183,5631,11357,11984,450,False
PO00237,CA003,CR0197,2025-01-07,youtube,short,534,1127,2795,2750,0,False
PO00238,CA003,CR1198,2025-01-07,youtube,long_form,103,638,907,1049,0,False
PO00239,CA003,CR0142,2025-01-07,youtube,reel,2573,7363,11257,13836,450,False
PO00240,CA003,CR0671,2025-01-07,youtube,reel,100,338,659,701,0,False
PO00241,CA003,CR0344,2025-01-07,youtube,short,100,155,245,282,0,False
PO00242,CA003,CR0125,2025-01-07,youtube,reel,723,3438,5621,6027,0,False
PO00243,CA003,CR0159,2025-01-07,youtube,short,699,5146,7586,8277,450,False
PO00244,CA003,CR0393,2025-01-07,youtube,short,100,122,167,176,0,False
PO00245,CA003,CR0782,2025-01-07,youtube,short,530,1786,2873,3130,0,False
PO00246,CA003,CR1026,2025-01-07,youtube,long_form,573,1456,2303,2357,0,False
PO00247,CA003,CR0366,2025-01-07,youtube,long_form,203633,409726,632306,743905,15950,False
PO00248,CA003,CR1019,2025-01-07,youtube,carousel,126,567,992,1107,0,False
PO00249,CA003,CR1043,2025-01-07,youtube,short,943,3405,5095,5157,0,False
PO00250,CA003,CR0039,2025-01-07,youtube,short,6333,13826,21586,25439,450,False
PO00251,CA003,CR1141,2025-01-07,youtube,long_form,671,1658,2532,2656,0,False
PO00252,CA003,CR0844,2025-01-07,youtube,short,500,1734,2725,2898,0,False
PO00253,CA003,CR0992,2025-01-07,youtube,short,2048,4600,8636,9792,450,False
PO00254,CA003,CR0355,2025-01-07,youtube,short,345,813,1558,1521,0,False
PO00255,CA003,CR0734,2025-01-07,youtube,reel,535,2493,4350,4441,0,False
PO00256,CA003,CR0247,2025-01-07,youtube,reel,1627,3454,5589,6596,0,False
PO00257,CA003,CR0866,2025-01-07,youtube,short,2833,6638,14431,14824,450,False
PO00258,CA003,CR0541,2025-01-07,youtube,short,872,1932,2812,3237,0,False
PO00259,CA003,CR0811,2025-01-07,youtube,long_form,653,1539,3103,3527,0,False
PO00260,CA003,CR0382,2025-01-07,youtube,long_form,1087,2733,4237,5096,0,False
PO00261,CA003,CR0223,2025-01-07,youtube,short,1339,3203,3929,4876,0,False
PO00262,CA003,CR0632,2025-01-07,youtube,short,2274,7522,16866,17890,450,False
PO00263,CA003,CR1110,2025-01-07,youtube,short,1278,4587,10529,12857,450,False
PO00264,CA003,CR1139,2025-01-07,youtube,short,1635,3275,6836,7081,0,False
PO00265,CA003,CR0164,2025-01-07,youtube,carousel,165,488,685,799,0,False
PO00266,CA003,CR0437,2025-01-07,youtube,short,276,518,1079,1061,0,False
PO00267,CA003,CR1023,2025-01-07,youtube,long_form,209,702,1537,1864,0,False
PO00268,CA003,CR0704,2025-01-07,youtube,carousel,489,1347,2000,2360,0,False
PO00269,CA003,CR0368,2025-01-07,youtube,short,367,1892,2563,3138,0,False
PO00270,CA003,CR0929,2025-01-07,youtube,short,587,1000,2466,2431,0,False
PO00271,CA003,CR0056,2025-01-07,youtube,long_form,100,358,504,534,0,False
PO00272,CA003,CR0961,2025-01-07,youtube,reel,491,1334,2068,2526,0,False
PO00273,CA003,CR0346,2025-01-07,youtube,long_form,1376,4550,6053,6626,0,False
PO00274,CA003,CR0789,2025-01-07,youtube,long_form,120,567,778,949,0,False
PO00275,CA003,CR0923,2025-01-07,youtube,carousel,3931,11896,18364,21274,450,False
PO00276,CA003,CR0480,2025-01-07,youtube,short,217,1334,1642,1987,0,False
PO00277,CA003,CR0587,2025-01-07,youtube,short,105,600,1192,1259,0,False
PO00278,CA003,CR0096,2025-01-07,youtube,short,185,635,1621,1718,0,False
PO00279,CA003,CR0450,2025-01-07,youtube,short,5053,7856,19730,20869,450,False
PO00280,CA003,CR0689,2025-01-07,youtube,reel,891,1467,3696,3985,0,False
PO00281,CA004,CR0107,2025-01-10,instagram,carousel,100,254,408,453,0,False
PO00282,CA004,CR1089,2025-01-10,instagram,short,192,985,1208,1495,0,False
PO00283,CA004,CR0628,2025-01-10,instagram,short,126,297,646,681,0,False
PO00284,CA004,CR0695,2025-01-10,instagram,short,608,1601,2459,2658,0,False
PO00285,CA004,CR0753,2025-01-10,instagram,short,381,1070,1783,1806,0,False
PO00286,CA004,CR0068,2025-01-10,instagram,reel,212,906,1616,1707,0,False
PO00287,CA004,CR0385,2025-01-10,instagram,reel,293,487,932,1127,0,False
PO00288,CA004,CR0612,2025-01-10,instagram,reel,100,149,362,419,0,False
PO00289,CA004,CR1036,2025-01-10,instagram,reel,100,148,820,916,0,True
PO00290,CA004,CR0471,2025-01-10,instagram,long_form,227,837,1180,1354,0,False
PO00291,CA004,CR0372,2025-01-10,instagram,reel,302,454,890,1105,0,False
PO00292,CA004,CR0225,2025-01-10,instagram,reel,188,516,712,772,0,False
PO00293,CA004,CR1175,2025-01-10,instagram,reel,11817,35552,214275,254782,15700,True
PO00294,CA004,CR0596,2025-01-10,instagram,short,531,1549,1919,2394,0,False
PO00295,CA004,CR0569,2025-01-10,instagram,reel,174,356,542,639,0,False
PO00296,CA004,CR1123,2025-01-10,instagram,reel,25945,87410,121094,136114,4500,False
PO00297,CA004,CR0256,2025-01-10,instagram,reel,1027,2227,3913,4679,0,False
PO00298,CA004,CR0496,2025-01-10,instagram,reel,4077,10700,18423,20133,450,False
PO00299,CA004,CR0738,2025-01-10,instagram,reel,406,567,1374,1532,0,False
PO00300,CA004,CR0676,2025-01-10,instagram,reel,167,231,625,633,0,False
PO00301,CA004,CR0353,2025-01-10,instagram,short,10761,28546,36809,43804,1800,False
PO00302,CA004,CR0915,2025-01-10,instagram,reel,2450,5515,9973,11708,450,False
PO00303,CA004,CR0766,2025-01-10,instagram,long_form,100,100,100,100,0,False
PO00304,CA004,CR0836,2025-01-10,instagram,reel,341,1154,1718,1807,0,False
PO00305,CA004,CR0392,2025-01-10,instagram,short,652,2194,5026,5215,0,False
PO00306,CA004,CR0852,2025-01-10,instagram,reel,628022,2073767,2894556,3314354,15700,False
PO00307,CA004,CR0602,2025-01-10,instagram,long_form,467,794,1585,1812,0,False
PO00308,CA004,CR0143,2025-01-10,instagram,reel,100,135,172,204,0,False
PO00309,CA004,CR0904,2025-01-10,instagram,reel,100,943,4236,4798,0,True
PO00310,CA004,CR0889,2025-01-10,instagram,short,143,347,560,662,0,False
PO00311,CA004,CR0740,2025-01-10,instagram,long_form,324,1493,2324,2415,0,False
PO00312,CA004,CR0672,2025-01-10,instagram,long_form,100,100,100,100,0,False
PO00313,CA004,CR1028,2025-01-10,instagram,long_form,100,100,102,100,0,False
PO00314,CA004,CR0847,2025-01-10,instagram,long_form,1612,5615,7640,9196,450,False
PO00315,CA004,CR0176,2025-01-10,instagram,reel,100,178,455,445,0,False
PO00316,CA004,CR0499,2025-01-10,instagram,reel,1018,2060,4604,4991,0,False
PO00317,CA004,CR0716,2025-01-10,instagram,short,466,1821,2615,3168,0,False
PO00318,CA004,CR0134,2025-01-10,instagram,short,100,100,136,170,0,False
PO00319,CA004,CR0309,2025-01-10,instagram,carousel,197,464,715,725,0,False
PO00320,CA004,CR0993,2025-01-10,instagram,reel,867,2782,4831,5806,0,False
PO00321,CA004,CR0526,2025-01-10,instagram,reel,206,879,1666,1830,0,False
PO00322,CA004,CR0292,2025-01-10,instagram,short,122,641,1174,1405,0,False
PO00323,CA004,CR0302,2025-01-10,instagram,reel,100,100,105,115,0,False
PO00324,CA004,CR0237,2025-01-10,instagram,reel,100,226,388,396,0,False
