campaign_id,milestone_rank,view_threshold,payout_amount
CA060,4,282625,10300
CA061,1,14850,950
CA061,2,59400,3800
CA061,3,148500,9500
CA061,4,519750,33250
CA062,1,7150,600
CA062,2,28600,2400
CA062,3,71500,5950
CA062,4,250250,20800
CA063,1,10188,800
CA063,2,40752,3100
CA063,3,101880,7800
CA063,4,356580,27250
CA064,1,8925,700
CA064,2,35700,2800
CA064,3,89250,7000
CA064,4,312375,24450
CA065,1,8500,350
CA065,2,34000,1450
CA065,3,85000,3550
CA065,4,297500,12500
CA066,1,6820,250
CA066,2,27280,1050
CA066,3,68200,2650
CA066,4,238700,9300
CA067,1,7650,750
CA067,2,30600,3000
CA067,3,76500,7550
CA067,4,267750,26450
CA068,1,10450,500
CA068,2,41800,2050
CA068,3,104500,5150
CA068,4,365750,18050
CA069,1,6500,400
CA069,2,26000,1600
CA069,3,65000,4050
CA069,4,227500,14150
CA070,1,24502,1900
CA070,2,98008,7650
CA070,3,245020,19150
CA070,4,857570,67000
CA071,1,10450,600
CA071,2,41800,2400
CA071,3,104500,6050
CA071,4,365750,21200
CA072,1,8075,550
CA072,2,32300,2200
CA072,3,80750,5450
CA072,4,282625,19100
CA073,1,8075,400
CA073,2,32300,1600
CA073,3,80750,4000
CA073,4,282625,13950
CA074,1,8075,500
CA074,2,32300,1950
CA074,3,80750,4850
CA074,4,282625,16900
CA075,1,12150,600
CA075,2,48600,2400
CA075,3,121500,5950
CA075,4,425250,20850
CA076,1,8925,550
CA076,2,35700,2150
CA076,3,89250,5350
CA076,4,312375,18750
CA077,1,10188,1050
CA077,2,40752,4250
CA077,3,101880,10650
CA077,4,356580,37350
CA078,1,8075,400
CA078,2,32300,1600
CA078,3,80750,4000
CA078,4,282625,13950
CA079,1,8925,700
CA079,2,35700,2800
CA079,3,89250,7000
CA079,4,312375,24450
CA080,1,9350,400
CA080,2,37400,1700
CA080,3,93500,4200
CA080,4,327250,14650
CA081,1,5850,400
CA081,2,23400,1650
CA081,3,58500,4100
CA081,4,204750,14350
CA082,1,11000,750
CA082,2,44000,3100
CA082,3,110000,7700
CA082,4,385000,27050
CA083,1,6500,300
CA083,2,26000,1200
CA083,3,65000,3000
CA083,4,227500,10450
CA084,1,11797,1500
CA084,2,47188,6050
CA084,3,117970,15150
CA084,4,412895,53000
CA085,1,8500,300
CA085,2,34000,1300
CA085,3,85000,3200
CA085,4,297500,11250
CA086,1,8925,600
CA086,2,35700,2450
CA086,3,89250,6050
CA086,4,312375,21250
CA087,1,8925,700
CA087,2,35700,2800
CA087,3,89250,6950
CA087,4,312375,24350
CA088,1,5533,250
CA088,2,22132,850
CA088,3,55330,2100
CA088,4,193655,7300
CA089,1,5850,500
CA089,2,23400,2050
CA089,3,58500,5100
CA089,4,204750,17900
CA090,1,12100,600
CA090,2,48400,2450
CA090,3,121000,6100
CA090,4,423500,21350
CA091,1,18150,1500
CA091,2,72600,6100
CA091,3,181500,15200
CA091,4,635250,53150
CA092,1,8925,800
CA092,2,35700,3150
CA092,3,89250,7900
CA092,4,312375,27600
CA093,1,11550,650
CA093,2,46200,2650
CA093,3,115500,6700
CA093,4,404250,23350
CA094,1,8500,600
CA094,2,34000,2350
CA094,3,85000,5850
CA094,4,297500,20550
CA095,1,6500,250
CA095,2,26000,1000
CA095,3,65000,2450
CA095,4,227500,8600
CA096,1,12825,750
CA096,2,51300,3000
CA096,3,128250,7450
CA096,4,448875,26050
CA097,1,6175,450
CA097,2,24700,1850
CA097,3,61750,4650
CA097,4,216125,16300
CA098,1,22275,1750
CA098,2,89100,7050
CA098,3,222750,17600
CA098,4,779625,61650
CA099,1,5000,250
CA099,2,20000,900
CA099,3,50000,2250
CA099,4,175000,7850
CA100,1,11000,450
CA100,2,44000,1850
CA100,3,110000,4600
CA100,4,385000,16150
