creator_id,platform,follower_count,tier,account_age_months,historical_avg_views_per_post,historical_completion_rate
CR0078,instagram,1921,nano,39,596,0.0
CR0079,instagram,25271,micro,17,1620,0.14285714285714285
CR0080,instagram,3247,nano,40,2007,0.1111111111111111
CR0081,youtube,43004,micro,59,10974,0.45454545454545453
CR0082,youtube,40932,micro,34,21859,0.7058823529411765
CR0083,instagram,302404,mid,20,35925,0.8
CR0084,instagram,12980,micro,28,4903,0.0
CR0085,instagram,14761,micro,11,1662,0.16666666666666666
CR0086,instagram,226583,mid,6,41459,0.75
CR0087,youtube,4963634,macro,14,819376,1.0
CR0088,instagram,42326,micro,47,10524,0.6666666666666666
CR0089,youtube,7022,nano,69,1516,0.0
CR0090,youtube,3430,nano,38,1004,0.0
CR0091,instagram,14038,micro,13,1444,0.0
CR0092,instagram,30149,micro,13,2857,0.375
CR0093,youtube,405895,mid,37,60896,0.6
CR0094,instagram,33690,micro,38,9276,0.5714285714285714
CR0095,youtube,303175,mid,16,34595,0.5384615384615384
CR0096,youtube,33080,micro,34,4114,0.23076923076923078
CR0097,youtube,2803,nano,44,621,0.0
CR0098,youtube,38472,micro,36,7592,0.07692307692307693
CR0099,youtube,2714009,macro,8,700624,1.0
CR0100,youtube,3520449,macro,17,581501,0.9565217391304348
CR0101,instagram,43604,micro,90,8352,0.6666666666666666
CR0102,youtube,214110,mid,24,11559,0.45454545454545453
CR0103,youtube,2113501,macro,66,244386,0.9
CR0104,instagram,60840,micro,13,18961,0.16666666666666666
CR0105,youtube,1835,nano,21,300,0.0
CR0106,instagram,581066,mid,25,86973,0.875
CR0107,instagram,3878,nano,26,681,0.0
CR0108,youtube,17075,micro,26,2536,0.0
CR0109,instagram,24439,micro,45,3622,0.0
CR0110,instagram,50309,micro,27,29748,0.5
CR0111,youtube,4334,nano,91,435,0.0
CR0112,instagram,2944,nano,20,453,0.2
CR0113,youtube,21659,micro,20,1609,0.1
CR0114,youtube,75338,micro,24,3428,0.2727272727272727
CR0115,instagram,366196,mid,52,53017,0.6666666666666666
CR0116,youtube,7533,nano,30,1896,0.16666666666666666
CR0117,youtube,29217,micro,25,6692,0.25
CR0118,instagram,150212,mid,26,71666,0.75
CR0119,instagram,26504,micro,21,2486,0.0
CR0120,instagram,1692,nano,28,300,0.0
CR0121,instagram,3050,nano,45,527,0.0
CR0122,youtube,25546,micro,32,6272,0.3076923076923077
CR0123,youtube,30102,micro,18,4072,0.15384615384615385
CR0124,youtube,2720,nano,73,300,0.0
CR0125,youtube,81219,micro,34,5727,0.42857142857142855
CR0126,instagram,1935,nano,51,415,0.25
CR0127,instagram,4712,nano,11,2117,0.0
CR0128,youtube,7247,nano,20,3258,0.07692307692307693
CR0129,youtube,8177,nano,61,2516,0.0
CR0130,instagram,201293,mid,46,56382,0.625
CR0131,instagram,11922,micro,24,1094,0.0
CR0132,youtube,473904,mid,69,303345,0.8461538461538461
CR0133,instagram,1955,nano,16,300,0.0
CR0134,instagram,1546,nano,37,823,0.0
CR0135,instagram,324836,mid,16,36206,0.8571428571428571
CR0136,instagram,44549,micro,59,3848,0.25
CR0137,instagram,174605,mid,40,13998,0.3333333333333333
CR0138,instagram,347533,mid,37,33985,0.5
CR0139,instagram,6519,nano,39,1029,0.0
CR0140,instagram,46491,micro,73,5559,0.6
CR0141,youtube,742720,mid,33,33163,0.6666666666666666
CR0142,youtube,32025,micro,78,2746,0.47058823529411764
CR0143,instagram,7956,nano,72,719,0.0
CR0144,youtube,105215,mid,31,39691,0.8
CR0145,instagram,20512,micro,56,18124,0.42857142857142855
CR0146,instagram,279410,mid,33,72034,1.0
CR0147,instagram,5307,nano,14,617,0.0
CR0148,instagram,692982,mid,26,139301,1.0
CR0149,youtube,17933,micro,34,2280,0.26666666666666666
CR0150,youtube,12829,micro,32,2080,0.06666666666666667
CR0151,instagram,869995,mid,38,60587,1.0
CR0152,instagram,34720,micro,24,1121,0.0
CR0153,instagram,2393,nano,20,613,0.0
CR0154,youtube,23066,micro,79,5041,0.2
CR0155,instagram,130357,mid,18,12123,0.75
CR0156,youtube,3218,nano,62,540,0.0
CR0157,instagram,210763,mid,27,85683,0.25
CR0158,instagram,703649,mid,30,94590,1.0
CR0159,youtube,26600,micro,62,4941,0.375
CR0160,instagram,1301173,macro,55,174576,0.8888888888888888
CR0161,instagram,8148,nano,38,2561,0.2857142857142857
CR0162,youtube,15242,micro,12,1070,0.06666666666666667
CR0163,instagram,8205,nano,25,689,0.0
CR0164,youtube,54214,micro,19,23589,0.15384615384615385
CR0165,instagram,10052,micro,55,960,0.0
CR0166,youtube,1987,nano,19,379,0.0
CR0167,instagram,275423,mid,42,22404,0.2857142857142857
CR0168,instagram,14903,micro,15,4198,0.2
CR0169,instagram,519179,mid,53,102607,1.0
CR0170,instagram,223652,mid,50,63151,0.6
CR0171,instagram,77068,micro,26,18471,0.7777777777777778
CR0172,instagram,13274,micro,50,3675,0.5
CR0173,youtube,2740,nano,18,681,0.08333333333333333
CR0174,instagram,13380,micro,39,1865,0.0
CR0175,youtube,156047,mid,9,13748,0.7857142857142857
CR0176,instagram,4758,nano,25,2174,0.16666666666666666
CR0177,instagram,3139,nano,51,880,0.0
CR0178,instagram,202988,mid,21,72441,1.0
CR0179,youtube,8085,nano,16,1163,0.0
CR0180,instagram,534190,mid,35,131014,1.0
CR0181,instagram,17867,micro,25,3553,0.25
CR0182,youtube,144552,mid,73,15698,0.5
CR0183,youtube,6263,nano,20,665,0.0
CR0184,youtube,3273,nano,37,1315,0.0
CR0185,instagram,6456,nano,15,1250,0.0
CR0186,instagram,147328,mid,51,18255,0.42857142857142855
CR0187,youtube,93313,micro,56,54477,0.6153846153846154
CR0188,instagram,28244,micro,18,8403,0.14285714285714285
CR0189,instagram,622363,mid,75,148915,0.7142857142857143
CR0190,youtube,294292,mid,61,50618,0.9166666666666666
CR0191,instagram,4018,nano,21,608,0.25
CR0192,instagram,107955,mid,28,38914,0.6
CR0193,instagram,610183,mid,30,72992,1.0
CR0194,youtube,176064,mid,85,30883,0.6
CR0195,instagram,16379,micro,42,2414,0.125
CR0196,youtube,2073,nano,38,599,0.0
CR0197,youtube,27462,micro,8,5158,0.15384615384615385
CR0198,youtube,2254,nano,19,315,0.0
CR0199,instagram,64578,micro,17,19152,0.3333333333333333
CR0200,youtube,17963,micro,21,2130,0.0
CR0201,instagram,18393,micro,21,2141,0.45454545454545453
CR0202,instagram,1502,nano,46,300,0.0
CR0203,instagram,280835,mid,95,66044,1.0
CR0204,instagram,15528,micro,16,3834,0.0
CR0205,instagram,14866,micro,22,1920,1.0
CR0206,instagram,2901,nano,29,871,0.2
CR0207,instagram,124526,mid,17,5878,0.25
CR0208,youtube,524515,mid,20,185495,1.0
CR0209,youtube,20735,micro,24,3856,0.14285714285714285
CR0210,instagram,2231177,macro,33,480829,0.8888888888888888
CR0211,instagram,15449,micro,83,8909,0.0
CR0212,youtube,26418,micro,30,4053,0.3333333333333333
CR0213,instagram,27605,micro,22,6177,0.5
CR0214,instagram,21778,micro,57,8451,0.0
CR0215,instagram,16209,micro,20,2407,0.125
CR0216,youtube,371585,mid,26,167362,0.9166666666666666
CR0217,youtube,356849,mid,40,49476,0.5833333333333334
CR0218,instagram,5916,nano,34,300,0.25
CR0219,instagram,206815,mid,36,90901,0.5
CR0220,youtube,6270,nano,13,564,0.0
CR0221,instagram,151016,mid,8,19294,0.6666666666666666
CR0222,instagram,288216,mid,65,15443,1.0
CR0223,youtube,25604,micro,41,4227,0.09090909090909091
CR0224,instagram,71590,micro,63,14129,0.4
CR0225,instagram,5150,nano,56,454,0.0
CR0226,instagram,16201,micro,18,3885,0.5
CR0227,instagram,243479,mid,47,118339,0.6666666666666666
CR0228,instagram,402915,mid,24,64925,0.5
CR0229,instagram,4678512,macro,31,685815,1.0
CR0230,youtube,8439,nano,42,1089,0.09090909090909091
CR0231,instagram,78586,micro,54,10796,0.7
CR0232,youtube,1648686,macro,68,304381,0.9464285714285714
CR0233,youtube,473646,mid,13,69627,0.6666666666666666
CR0234,youtube,6516,nano,74,1569,0.09090909090909091
CR0235,instagram,29660,micro,34,4394,0.14285714285714285
CR0236,youtube,1730,nano,74,300,0.0
CR0237,instagram,2006,nano,29,409,0.0
CR0238,instagram,856010,mid,25,208732,1.0
CR0239,instagram,4284,nano,43,1139,0.0
CR0240,instagram,388615,mid,20,67992,0.8333333333333334
CR0241,youtube,3365,nano,29,887,0.0
CR0242,instagram,2711,nano,54,346,0.0
CR0243,instagram,144925,mid,13,15493,0.5555555555555556
CR0244,instagram,31395,micro,61,1264,0.2
CR0245,instagram,11623,micro,38,2356,0.0
CR0246,instagram,2127259,macro,43,260954,1.0
CR0247,youtube,58122,micro,34,17354,0.6153846153846154
CR0248,instagram,44439,micro,42,8324,0.6666666666666666
CR0249,instagram,303822,mid,12,18186,0.75
CR0250,youtube,2164,nano,30,300,0.0
CR0251,instagram,8759,nano,45,2928,0.14285714285714285
CR0252,instagram,531796,mid,15,89360,0.8333333333333334
CR0253,instagram,2484,nano,18,350,0.0
CR0254,youtube,3645,nano,17,442,0.0
CR0255,instagram,169721,mid,43,58647,0.75
CR0256,instagram,6008,nano,44,2452,0.3333333333333333
CR0257,youtube,22963,micro,68,2397,0.0
CR0258,youtube,70445,micro,29,2272,0.2727272727272727
CR0259,instagram,275321,mid,46,72377,1.0
CR0260,instagram,35934,micro,19,5560,0.75
CR0261,youtube,644231,mid,52,161115,0.5882352941176471
CR0262,instagram,18285,micro,21,4968,0.0
CR0263,youtube,14656,micro,27,1049,0.0
CR0264,youtube,446841,mid,30,86290,0.6153846153846154
CR0265,instagram,136033,mid,23,10715,0.5714285714285714
CR0266,instagram,1530896,macro,29,178022,0.9444444444444444
CR0267,instagram,229618,mid,58,13479,0.6666666666666666
CR0268,youtube,1064170,macro,22,280997,0.9056603773584906
CR0269,instagram,53756,micro,25,6068,0.125
CR0270,youtube,69601,micro,42,8445,0.42105263157894735
CR0271,youtube,79942,micro,61,16210,0.7272727272727273
CR0272,instagram,15707,micro,36,4626,0.16666666666666666
CR0273,instagram,583431,mid,34,104593,0.8571428571428571
CR0274,instagram,241908,mid,21,59235,1.0
CR0275,youtube,4881,nano,61,1991,0.1
CR0276,instagram,164908,mid,20,55597,0.3333333333333333
CR0277,youtube,132563,mid,56,43287,0.4
CR0278,youtube,318656,mid,25,41126,0.4
CR0279,instagram,2328,nano,30,405,0.0
CR0280,instagram,743652,mid,29,276387,1.0
CR0281,youtube,6509,nano,120,841,0.0
CR0282,instagram,42073,micro,37,25638,0.3333333333333333
CR0283,youtube,186661,mid,35,24749,0.3333333333333333
CR0284,instagram,56628,micro,22,8609,0.16666666666666666
CR0285,instagram,2252,nano,23,300,0.0
CR0286,youtube,70117,micro,24,13013,0.23076923076923078
CR0287,instagram,176126,mid,41,14759,0.5714285714285714
CR0288,youtube,171576,mid,25,17488,0.16666666666666666
CR0289,instagram,53385,micro,38,24755,0.3
CR0290,instagram,7726,nano,31,400,0.0
CR0291,instagram,4276563,macro,15,486149,1.0
CR0292,instagram,1872,nano,34,622,0.0
CR0293,youtube,357840,mid,32,67357,0.8
CR0294,instagram,49759,micro,29,11108,0.0
CR0295,youtube,177326,mid,16,53535,0.6
CR0296,instagram,68759,micro,54,11447,0.2857142857142857
CR0297,instagram,77540,micro,46,8432,0.4
CR0298,youtube,39512,micro,21,4962,0.5384615384615384
CR0299,instagram,11814,micro,52,1336,0.2
CR0300,instagram,53254,micro,84,8340,0.0
CR0301,instagram,80779,micro,74,9582,0.2
CR0302,instagram,3885,nano,64,300,0.0
CR0303,instagram,2065092,macro,32,658328,0.9545454545454546
CR0304,instagram,56507,micro,30,4345,0.3333333333333333
CR0305,instagram,144446,mid,26,31253,0.6
CR0306,youtube,166006,mid,56,35810,0.5
CR0307,instagram,1433941,macro,25,285495,0.9375
CR0308,youtube,4922374,macro,50,946989,1.0
CR0309,instagram,3979,nano,78,694,0.0
CR0310,instagram,4298742,macro,41,1054769,1.0
CR0311,youtube,31206,micro,20,5434,0.14285714285714285
CR0312,instagram,13316,micro,10,1706,0.125
CR0313,instagram,337778,mid,37,70744,0.8
CR0314,instagram,1691,nano,58,300,0.0
CR0315,instagram,4595,nano,58,651,0.2
CR0316,instagram,102450,mid,37,23114,0.6666666666666666
CR0317,youtube,5071,nano,12,421,0.0
CR0318,instagram,29282,micro,72,4358,0.2
CR0319,instagram,104134,mid,36,9854,0.2857142857142857
CR0320,instagram,477683,mid,10,89213,1.0
CR0321,instagram,2266,nano,18,300,0.0
CR0322,youtube,155644,mid,17,33227,0.7142857142857143
CR0323,youtube,6134,nano,43,1123,0.0
CR0324,instagram,7199,nano,58,516,0.2
CR0325,youtube,5876,nano,61,1108,0.0
CR0326,instagram,20195,micro,49,1842,0.2
CR0327,instagram,3531,nano,80,819,0.0
CR0328,youtube,68037,micro,34,6600,0.46153846153846156
CR0329,instagram,92324,micro,20,6391,0.8
CR0330,instagram,3606,nano,23,740,0.25
CR0331,instagram,66674,micro,23,9863,0.75
CR0332,youtube,293006,mid,43,42785,0.4166666666666667
CR0333,instagram,13698,micro,27,2996,0.4444444444444444
CR0334,instagram,4662,nano,37,713,0.0
CR0335,instagram,3483,nano,28,519,0.0
CR0336,instagram,10503,micro,15,1443,0.0
CR0337,youtube,793016,mid,41,240664,0.8461538461538461
CR0338,instagram,401254,mid,22,159884,0.8333333333333334
CR0339,instagram,13914,micro,17,2433,0.0
CR0340,instagram,203741,mid,32,50463,0.3333333333333333
CR0341,instagram,179327,mid,43,23726,0.8333333333333334
CR0342,youtube,89022,micro,14,16314,0.5
CR0343,youtube,7275,nano,25,1141,0.15384615384615385
CR0344,youtube,10724,micro,57,2808,0.1111111111111111
CR0345,youtube,18096,micro,21,6224,0.3333333333333333
CR0346,youtube,68175,micro,17,19733,0.6470588235294118
CR0347,youtube,3737,nano,34,3780,0.0
CR0348,youtube,783495,mid,14,54047,0.6363636363636364
CR0349,instagram,14428,micro,56,2610,0.1111111111111111
CR0350,instagram,8312,nano,11,1190,0.0
CR0351,instagram,1593,nano,34,300,0.0
CR0352,instagram,20922,micro,36,5232,0.2222222222222222
CR0353,instagram,4456685,macro,42,626760,1.0
CR0354,youtube,639205,mid,50,174859,0.8181818181818182
CR0355,youtube,81010,micro,12,14691,0.2857142857142857
CR0356,instagram,10799,micro,18,1388,0.3333333333333333
CR0357,instagram,2496,nano,36,651,0.0
CR0358,youtube,26039,micro,50,5038,0.45454545454545453
CR0359,instagram,30996,micro,36,4229,0.0
CR0360,instagram,35742,micro,119,12216,0.6
CR0361,instagram,838143,mid,52,95074,0.6666666666666666
CR0362,instagram,360937,mid,41,53965,1.0
CR0363,instagram,113803,mid,35,21821,0.42857142857142855
CR0364,youtube,5099,nano,46,410,0.0
CR0365,instagram,37544,micro,19,6255,0.6
CR0366,youtube,2081025,macro,65,816720,0.9795918367346939
CR0367,instagram,8342,nano,18,859,0.0
CR0368,youtube,15339,micro,43,3209,0.17647058823529413
CR0369,instagram,5013,nano,19,2245,0.25
CR0370,instagram,685758,mid,44,95454,1.0
CR0371,instagram,11462,micro,11,1434,0.0
CR0372,instagram,4771,nano,30,548,0.0
CR0373,youtube,37534,micro,42,8923,0.47058823529411764
CR0374,instagram,3311,nano,88,1250,0.0
CR0375,youtube,13296,micro,14,2299,0.16666666666666666
CR0376,youtube,39700,micro,37,5165,0.35294117647058826
CR0377,instagram,16272,micro,18,7614,0.5
CR0378,youtube,48764,micro,31,3863,0.13333333333333333
CR0379,instagram,2572,nano,55,513,0.0
CR0380,instagram,10930,micro,62,771,0.0
CR0381,instagram,527093,mid,17,41995,1.0
CR0382,youtube,26396,micro,21,9193,0.3333333333333333
CR0383,instagram,15020,micro,29,4624,0.2
CR0384,instagram,79207,micro,54,10224,0.3333333333333333
CR0385,instagram,9258,nano,11,2396,0.25
CR0386,instagram,23353,micro,40,7245,0.375
CR0387,instagram,225247,mid,62,28795,1.0
CR0388,youtube,188312,mid,21,80115,0.6923076923076923
CR0389,instagram,1567,nano,26,300,0.0
CR0390,youtube,59952,micro,38,22651,0.6666666666666666
CR0391,instagram,112042,mid,40,34791,0.8333333333333334
CR0392,instagram,3248,nano,66,1210,0.2
CR0393,youtube,17589,micro,74,1614,0.0625
CR0394,instagram,5398,nano,32,342,0.0
CR0395,youtube,6125,nano,52,4593,0.25
CR0396,instagram,54857,micro,19,4154,0.5
CR0397,instagram,2128,nano,46,949,0.0
CR0398,instagram,710724,mid,39,30484,0.8
CR0399,instagram,81504,micro,43,17002,0.5714285714285714
CR0400,instagram,12732,micro,51,2945,0.125
CR0401,youtube,2161,nano,8,762,0.0
CR0402,youtube,5378,nano,51,946,0.0
CR0403,instagram,20667,micro,47,3659,0.14285714285714285
CR0404,instagram,54862,micro,39,6440,0.0
CR0405,instagram,36210,micro,45,5073,0.3333333333333333
CR0406,instagram,50602,micro,45,7404,0.5555555555555556
CR0407,youtube,12558,micro,24,2152,0.06666666666666667
CR0408,youtube,4475,nano,69,300,0.07692307692307693
CR0409,youtube,21431,micro,28,1710,0.6
CR0410,instagram,11201,micro,24,3489,0.125
CR0411,youtube,16967,micro,35,2719,0.14285714285714285
CR0412,instagram,583411,mid,30,81851,0.75
CR0413,youtube,314955,mid,120,54667,0.6666666666666666
CR0414,instagram,5291,nano,26,1844,0.0
CR0415,instagram,783763,mid,23,125665,1.0
CR0416,instagram,1793,nano,17,300,0.0
CR0417,instagram,16230,micro,33,4480,0.0
CR0418,youtube,139342,mid,33,36949,0.5454545454545454
CR0419,youtube,42167,micro,20,8939,0.23076923076923078
CR0420,instagram,229096,mid,52,37704,0.5
CR0421,youtube,17549,micro,22,3443,0.23529411764705882
CR0422,instagram,19382,micro,9,14278,0.42857142857142855
CR0423,instagram,47570,micro,43,11817,0.6363636363636364
CR0424,instagram,46046,micro,27,17366,0.25
CR0425,instagram,1803,nano,23,506,0.0
CR0426,youtube,615097,mid,88,63295,0.875
CR0427,instagram,8289,nano,48,611,0.14285714285714285
CR0428,instagram,3412,nano,44,726,0.0
CR0429,youtube,711644,mid,13,191872,0.8181818181818182
CR0430,instagram,83465,micro,51,21662,0.3333333333333333
CR0431,instagram,107185,mid,43,42543,0.5
CR0432,youtube,73602,micro,26,4396,0.6666666666666666
CR0433,youtube,15598,micro,33,9470,0.4166666666666667
CR0434,instagram,1444109,macro,42,261782,0.9473684210526315
CR0435,instagram,19148,micro,36,10903,0.2857142857142857
CR0436,instagram,32312,micro,70,2764,0.16666666666666666
CR0437,youtube,5630,nano,57,1142,0.23076923076923078
CR0438,youtube,496631,mid,108,133154,1.0
CR0439,youtube,62486,micro,38,4215,0.29411764705882354
CR0440,instagram,12693,micro,37,3506,0.0
CR0441,instagram,3716,nano,15,419,0.0
CR0442,instagram,39865,micro,22,4782,0.4
CR0443,instagram,28948,micro,22,8194,0.45454545454545453
CR0444,youtube,140109,mid,74,19068,0.3333333333333333
CR0445,instagram,17759,micro,33,2122,0.0
CR0446,instagram,4087845,macro,29,1645231,1.0
CR0447,youtube,454189,mid,19,98281,0.8181818181818182
CR0448,instagram,74576,micro,120,19870,1.0
CR0449,instagram,2378,nano,32,812,0.16666666666666666
CR0450,youtube,1019732,macro,19,117956,0.7906976744186046
CR0451,instagram,14594,micro,26,1262,0.25
CR0452,instagram,100596,mid,25,19261,0.4
CR0453,instagram,15048,micro,12,6296,0.18181818181818182
CR0454,youtube,146882,mid,14,38040,0.5
CR0455,youtube,3754,nano,16,1100,0.07142857142857142
CR0456,youtube,7641,nano,43,2246,0.0
CR0457,instagram,43475,micro,52,8294,0.0
CR0458,youtube,266005,mid,39,53618,0.5714285714285714
CR0459,instagram,702775,mid,30,159984,1.0
CR0460,instagram,17945,micro,36,5483,0.2
CR0461,instagram,16285,micro,20,2411,0.125
CR0462,youtube,65651,micro,85,4317,0.6428571428571429
CR0463,youtube,41001,micro,120,4140,0.2727272727272727
CR0464,instagram,11479,micro,58,1817,0.0
CR0465,youtube,149760,mid,18,20918,0.36363636363636365
CR0466,instagram,1580,nano,17,300,0.0
CR0467,youtube,188208,mid,13,66699,0.7368421052631579
CR0468,youtube,277923,mid,86,29792,0.42857142857142855
CR0469,instagram,28345,micro,30,9553,0.5555555555555556
CR0470,instagram,2978,nano,18,537,0.125
CR0471,instagram,2207,nano,34,776,0.0
CR0472,instagram,23537,micro,31,2779,0.25
CR0473,instagram,427197,mid,28,158318,1.0
CR0474,instagram,12645,micro,19,3190,0.25
CR0475,instagram,108284,mid,15,15861,0.8571428571428571
CR0476,instagram,2489,nano,24,300,0.0
CR0477,instagram,4137,nano,39,1448,0.16666666666666666
CR0478,youtube,126868,mid,95,21747,0.47058823529411764
CR0479,instagram,92197,micro,19,18222,1.0
CR0480,youtube,23735,micro,34,5850,0.375
CR0481,instagram,88378,micro,18,27568,1.0
CR0482,instagram,4014,nano,72,1511,0.0
CR0483,instagram,107868,mid,35,28867,0.6
CR0484,instagram,11446,micro,120,1567,0.0
CR0485,youtube,38111,micro,45,16572,0.2857142857142857
CR0486,instagram,20626,micro,9,1052,0.0
CR0487,instagram,6750,nano,54,1058,0.0
CR0488,youtube,820109,mid,35,169096,0.9166666666666666
CR0489,instagram,312019,mid,22,49765,0.6666666666666666
CR0490,instagram,1176059,macro,51,318131,0.95
CR0491,instagram,36396,micro,33,7583,1.0
CR0492,youtube,303797,mid,93,44284,0.7692307692307693
CR0493,instagram,385059,mid,90,190464,0.8
CR0494,instagram,1677,nano,23,300,0.0
CR0495,instagram,197414,mid,27,54562,0.5714285714285714
CR0496,instagram,9142,nano,7,4141,0.14285714285714285
CR0497,instagram,120396,mid,66,13272,0.75
CR0498,youtube,190340,mid,41,36090,0.7
CR0499,instagram,84533,micro,27,13702,0.25
CR0500,instagram,283493,mid,36,44016,0.3333333333333333
CR0501,instagram,375709,mid,33,76752,1.0
CR0502,instagram,9246,nano,58,3204,0.0
CR0503,instagram,23510,micro,21,3576,0.16666666666666666
CR0504,instagram,79104,micro,29,32768,0.8
CR0505,instagram,385907,mid,37,64434,0.6
CR0506,instagram,27043,micro,25,8797,0.8333333333333334
CR0507,instagram,15062,micro,65,9505,0.8
CR0508,instagram,490287,mid,11,43493,0.5
CR0509,instagram,18253,micro,26,12584,0.0
CR0510,instagram,200356,mid,40,21889,0.5
CR0511,instagram,748413,mid,41,35685,0.5714285714285714
CR0512,instagram,3082,nano,20,776,0.0
CR0513,instagram,408900,mid,60,52599,1.0
CR0514,instagram,194081,mid,66,23135,0.8
CR0515,instagram,14319,micro,43,2339,0.0
CR0516,instagram,21080,micro,20,10202,0.375
CR0517,youtube,5349,nano,22,512,0.0
CR0518,instagram,5680,nano,28,3354,0.16666666666666666
CR0519,instagram,19796,micro,53,10703,0.25
CR0520,instagram,52324,micro,32,22330,0.4444444444444444
CR0521,instagram,22180,micro,37,4819,0.42857142857142855
CR0522,youtube,8135,nano,36,1149,0.25
CR0523,instagram,374380,mid,90,79803,0.625
CR0524,youtube,92175,micro,18,31988,0.5714285714285714
CR0525,instagram,7432,nano,50,1933,0.14285714285714285
CR0526,instagram,3716,nano,80,545,0.0
CR0527,instagram,137006,mid,21,24282,1.0
CR0528,instagram,42997,micro,37,11316,0.5
CR0529,instagram,532921,mid,47,80940,0.75
CR0530,instagram,10081,micro,66,1129,0.0
CR0531,youtube,59297,micro,21,20739,0.7142857142857143
CR0532,youtube,2517,nano,31,460,0.0
CR0533,instagram,13674,micro,30,1812,0.25
CR0534,instagram,26888,micro,22,11864,0.6
CR0535,instagram,8728,nano,39,2630,0.0
CR0536,instagram,79192,micro,48,5891,0.625
CR0537,instagram,690531,mid,36,75585,0.8571428571428571
CR0538,instagram,10876,micro,45,685,0.0
